iter	MultiClass	F1:class=0	F1:class=1	F1:class=2
51	0.219631504	0.9688581315	0.9570200573	0.9737827715
52	0.214074429	0.9689655172	0.9653179191	0.9750623441
53	0.211578835	0.9688581315	0.9655172414	0.9775561097
54	0.2079150227	0.9705372617	0.9684813754	0.9800498753
55	0.2008097153	0.9740034662	0.9714285714	0.9812734082
56	0.199593014	0.9757785467	0.9684813754	0.9837702871
57	0.1955765036	0.9792387543	0.9771428571	0.985
58	0.1925197415	0.9809358752	0.9799426934	0.9875311721
59	0.1908315408	0.9826989619	0.9799426934	0.986267166
60	0.1856458611	0.9827586207	0.9827586207	0.9875
61	0.1829526532	0.9845094664	0.9827586207	0.9887359199
62	0.1805756865	0.9862542955	0.9855907781	0.9887359199
63	0.1770341255	0.98791019	0.9914040115	0.9875
64	0.1735469659	0.98791019	0.9914040115	0.9875
65	0.1723246364	0.9862068966	0.9914529915	0.9887076537
66	0.1691360111	0.9896551724	0.9942857143	0.9899749373
67	0.1677752153	0.98791019	0.9942857143	0.9887359199
68	0.1666318523	0.9896193772	0.9942857143	0.99
69	0.1643716395	0.98791019	0.9942857143	0.9887359199
70	0.1631019052	0.9862068966	0.9942857143	0.9874686717
71	0.1616623781	0.98791019	0.9942857143	0.9887359199
72	0.1603430003	0.98791019	0.9942857143	0.9887359199
73	0.1577824279	0.98791019	0.9971509972	0.9899749373
74	0.1562065224	0.9913344887	0.9971509972	0.9925
75	0.1530542642	0.9913344887	0.9971509972	0.9925
76	0.1500038828	0.9930795848	0.9971509972	0.9937421777
77	0.1468916317	0.9948006932	0.9971509972	0.995
78	0.1449591667	0.9948006932	0.9971509972	0.995
79	0.1419052015	0.9965277778	0.9971509972	0.9962546816
80	0.1398720631	0.9965277778	0.9971509972	0.9962546816
81	0.1378122332	0.9948006932	0.9971509972	0.995
82	0.1361526694	0.9948006932	0.9971509972	0.995
83	0.1327980915	0.9965277778	0.9971509972	0.9962546816
84	0.1305793929	0.9965277778	0.9971509972	0.9962546816
85	0.12719436	0.9982608696	0.9971509972	0.9975062344
86	0.1247468214	0.9982608696	0.9971509972	0.9975062344
87	0.1230381293	0.9982608696	0.9971509972	0.9975062344
88	0.1218831729	0.9982608696	0.9971509972	0.9975062344
89	0.120455828	0.9982608696	0.9971509972	0.9975062344
90	0.1192970564	0.9982608696	0.9971509972	0.9975062344
91	0.1175569098	0.9982608696	0.9971509972	0.9975062344
92	0.1154382772	0.9982608696	0.9971509972	0.9975062344
93	0.113758887	1	0.9971509972	0.99875467
94	0.1118828161	1	0.9971509972	0.99875467
95	0.1105100641	1	0.9971509972	0.99875467
96	0.1092131603	1	0.9971509972	0.99875467
97	0.1074627818	1	0.9971509972	0.99875467
98	0.1066487079	1	0.9971509972	0.99875467
99	0.1054159466	1	0.9971509972	0.99875467
